图片路径,图片种类编号,图片种类名称,top-1-预测编号,top-1-预测名称,top-2-预测编号,top-2-预测名称,top-3-预测编号,top-3-预测名称,top-4-预测编号,top-4-预测名称,top-5-预测编号,top-5-预测名称,种类是否存在于预测top_5中(1/0),墨鱼-预测置信度,寄居蟹-预测置信度,射水鱼-预测置信度,小丑鱼-预测置信度,水母-预测置信度,河豚-预测置信度,海星-预测置信度,海洋生物大白鲨-预测置信度,海洋生物海马-预测置信度,海洋生物鲸鲨-预测置信度,海葵-预测置信度,海豹-预测置信度,海龟-预测置信度,狮子鱼-预测置信度,珊瑚-预测置信度,石头鱼-预测置信度,石斑鱼-预测置信度,章鱼-预测置信度,红尾鲶鱼-预测置信度,蓝吊鱼-预测置信度,蓝鲸-预测置信度,虎鲸-预测置信度,虾-预测置信度,螃蟹-预测置信度,螺类-预测置信度,金鱼-预测置信度,鲈鱼-预测置信度,鲟鱼-预测置信度,鲳鱼-预测置信度,鳄鱼-预测置信度,鳗鱼-预测置信度,黄尾副刺尾鱼-预测置信度,龙虾-预测置信度
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\18.jpg,0,墨鱼,0,墨鱼,28,鲳鱼,24,螺类,29,鳄鱼,22,虾,True,0.9752765,4.79846e-06,7.823956e-10,3.2065785e-08,4.4816417e-07,2.2849025e-09,1.0258287e-08,1.0743373e-05,2.562621e-07,7.791915e-12,1.4869259e-08,2.954805e-08,1.8851096e-10,1.9921284e-10,4.7793804e-09,3.5492303e-06,1.3391869e-07,3.8661663e-05,3.2633412e-09,4.6552823e-06,4.868788e-12,2.0946391e-08,0.00018839433,2.8794606e-05,0.0009341427,2.3317865e-09,2.9824477e-08,8.507696e-07,0.023033345,0.00033362547,1.2689736e-06,6.049962e-08,0.00013954079
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\19.jpg,0,墨鱼,0,墨鱼,29,鳄鱼,5,河豚,23,螃蟹,15,石头鱼,True,0.9767809,0.00078857475,4.1766015e-07,1.3071525e-07,9.30082e-11,0.003673374,2.677774e-10,7.092957e-08,4.776085e-08,3.2775292e-15,0.00024610045,2.1746268e-06,1.7070178e-06,5.0754593e-06,1.0340698e-06,0.0011145319,0.00032131336,6.0112674e-05,9.673945e-05,4.6052726e-05,1.4844936e-17,6.950773e-10,0.0009633928,0.002503133,1.432706e-05,8.47896e-05,9.019989e-05,1.0500837e-06,7.9218225e-05,0.013123707,5.63541e-07,4.1641013e-07,9.795765e-07
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\2.jpg,0,墨鱼,0,墨鱼,22,虾,24,螺类,26,鲈鱼,19,蓝吊鱼,True,0.9999974,1.8103396e-08,4.3230984e-13,3.516654e-12,3.0786678e-09,1.3579636e-10,5.6030965e-11,1.9963252e-08,3.5832418e-10,2.2002607e-14,1.4726029e-10,3.139579e-10,3.2024066e-13,2.0522901e-13,7.1351985e-10,8.38041e-09,3.8004004e-09,1.717962e-08,7.52913e-14,2.3639396e-08,1.1291074e-14,3.5686468e-13,2.09947e-06,1.7170666e-09,3.4346857e-07,7.24939e-13,6.122361e-08,4.902821e-11,6.6297536e-09,3.3927152e-09,1.4707839e-10,2.9901925e-12,5.902451e-10
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\20.jpg,0,墨鱼,0,墨鱼,19,蓝吊鱼,15,石头鱼,4,水母,28,鲳鱼,True,0.99992,1.704688e-12,1.5439328e-17,1.8123144e-11,7.332406e-08,8.631144e-14,8.605014e-09,6.3198374e-10,3.0702552e-09,1.2695881e-13,2.8059463e-10,1.2490374e-13,2.5482236e-11,1.4754056e-12,5.2119624e-09,2.1919517e-07,1.0380102e-12,3.868993e-09,6.711345e-11,7.968005e-05,1.7218618e-14,4.5463308e-15,1.8016217e-09,9.728241e-13,2.7516996e-11,4.5857896e-12,2.4213916e-11,1.0083389e-12,1.5758815e-08,1.0405807e-09,2.7058483e-10,1.0298892e-08,4.162186e-12
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\21.jpg,0,墨鱼,0,墨鱼,22,虾,24,螺类,10,海葵,14,珊瑚,True,0.99997795,1.9520434e-09,4.613846e-14,2.0069326e-13,1.6788849e-12,3.410766e-08,6.6474907e-13,6.2099765e-12,3.262738e-11,5.3676134e-21,8.492372e-08,1.2187967e-10,1.2405753e-11,2.7314597e-11,6.389883e-08,2.109154e-08,1.4562437e-09,2.9192865e-08,1.5875559e-14,1.8847788e-12,3.8058702e-23,2.3379174e-20,1.891742e-05,4.0963634e-08,2.812738e-06,6.666234e-12,2.410763e-10,3.643096e-12,7.989021e-12,2.7868008e-10,6.1356e-13,1.1044364e-12,6.0869787e-14
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\22.jpg,0,墨鱼,0,墨鱼,19,蓝吊鱼,4,水母,15,石头鱼,28,鲳鱼,True,0.99999344,3.220983e-11,1.9607697e-15,1.0813267e-12,4.1374025e-07,5.395106e-12,6.6946193e-10,8.885955e-08,2.388028e-10,3.9981435e-13,1.6472672e-08,4.199267e-13,9.083818e-11,5.7964007e-12,1.7049867e-07,3.7312643e-07,2.1978565e-11,2.430009e-07,6.875504e-10,4.8991214e-06,3.095582e-14,3.0632486e-14,1.7693544e-08,8.484719e-11,1.1036292e-10,3.2024628e-12,2.11055e-09,3.0877189e-12,2.7669387e-07,2.350577e-08,1.5650895e-09,2.8116938e-09,1.1571947e-12
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\23.jpg,0,墨鱼,0,墨鱼,10,海葵,14,珊瑚,22,虾,24,螺类,True,0.99888283,4.786693e-11,3.1765826e-14,2.4110215e-15,1.9079987e-08,3.6238732e-09,9.7506905e-11,5.389035e-11,1.5118665e-08,6.5854684e-21,0.00087092246,1.6088132e-10,2.4890414e-11,1.966677e-12,0.00017838829,1.9184527e-07,2.1433154e-11,2.4025366e-09,4.8678553e-14,1.1317726e-11,1.0640613e-20,1.3711532e-20,6.3636886e-05,1.2604692e-10,3.9251913e-06,1.0224231e-14,1.3557042e-08,7.10772e-15,3.4787985e-11,6.057856e-10,1.0210356e-10,1.2670387e-12,5.6450606e-16
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\24.jpg,0,墨鱼,0,墨鱼,19,蓝吊鱼,15,石头鱼,4,水母,28,鲳鱼,True,0.99992,1.704688e-12,1.5439328e-17,1.8123144e-11,7.332406e-08,8.631144e-14,8.605014e-09,6.3198374e-10,3.0702552e-09,1.2695881e-13,2.8059463e-10,1.2490374e-13,2.5482236e-11,1.4754056e-12,5.2119624e-09,2.1919517e-07,1.0380102e-12,3.868993e-09,6.711345e-11,7.968005e-05,1.7218618e-14,4.5463308e-15,1.8016217e-09,9.728241e-13,2.7516996e-11,4.5857896e-12,2.4213916e-11,1.0083389e-12,1.5758815e-08,1.0405807e-09,2.7058483e-10,1.0298892e-08,4.162186e-12
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\25.jpg,0,墨鱼,0,墨鱼,28,鲳鱼,24,螺类,29,鳄鱼,22,虾,True,0.9752765,4.79846e-06,7.823956e-10,3.2065785e-08,4.4816417e-07,2.2849025e-09,1.0258287e-08,1.0743373e-05,2.562621e-07,7.791915e-12,1.4869259e-08,2.954805e-08,1.8851096e-10,1.9921284e-10,4.7793804e-09,3.5492303e-06,1.3391869e-07,3.8661663e-05,3.2633412e-09,4.6552823e-06,4.868788e-12,2.0946391e-08,0.00018839433,2.8794606e-05,0.0009341427,2.3317865e-09,2.9824477e-08,8.507696e-07,0.023033345,0.00033362547,1.2689736e-06,6.049962e-08,0.00013954079
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\26.jpg,0,墨鱼,0,墨鱼,10,海葵,14,珊瑚,22,虾,24,螺类,True,0.99888283,4.786693e-11,3.1765826e-14,2.4110215e-15,1.9079987e-08,3.6238732e-09,9.7506905e-11,5.389035e-11,1.5118665e-08,6.5854684e-21,0.00087092246,1.6088132e-10,2.4890414e-11,1.966677e-12,0.00017838829,1.9184527e-07,2.1433154e-11,2.4025366e-09,4.8678553e-14,1.1317726e-11,1.0640613e-20,1.3711532e-20,6.3636886e-05,1.2604692e-10,3.9251913e-06,1.0224231e-14,1.3557042e-08,7.10772e-15,3.4787985e-11,6.057856e-10,1.0210356e-10,1.2670387e-12,5.6450606e-16
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\27.jpg,0,墨鱼,0,墨鱼,10,海葵,14,珊瑚,22,虾,24,螺类,True,0.99888283,4.786693e-11,3.1765826e-14,2.4110215e-15,1.9079987e-08,3.6238732e-09,9.7506905e-11,5.389035e-11,1.5118665e-08,6.5854684e-21,0.00087092246,1.6088132e-10,2.4890414e-11,1.966677e-12,0.00017838829,1.9184527e-07,2.1433154e-11,2.4025366e-09,4.8678553e-14,1.1317726e-11,1.0640613e-20,1.3711532e-20,6.3636886e-05,1.2604692e-10,3.9251913e-06,1.0224231e-14,1.3557042e-08,7.10772e-15,3.4787985e-11,6.057856e-10,1.0210356e-10,1.2670387e-12,5.6450606e-16
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\28.jpg,0,墨鱼,0,墨鱼,24,螺类,22,虾,23,螃蟹,1,寄居蟹,True,0.9993474,2.2656566e-08,6.0344645e-18,6.619065e-13,1.10857684e-10,3.9397385e-11,6.093569e-10,1.3224843e-11,7.544097e-10,4.929832e-17,1.6479628e-11,1.4795487e-10,8.5875946e-13,2.3055707e-12,4.4409218e-10,2.0409858e-09,2.435327e-11,1.6934097e-08,2.3487443e-16,1.7010623e-12,4.1621644e-17,1.3295403e-19,4.7483685e-05,2.3838912e-07,0.0006047765,1.1159883e-12,1.7367836e-13,2.7445665e-13,1.8723656e-11,2.0436923e-10,1.6748856e-11,3.4007622e-13,8.10053e-12
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\3.jpg,0,墨鱼,0,墨鱼,1,寄居蟹,24,螺类,5,河豚,15,石头鱼,True,0.99987125,0.0001080499,1.6023602e-09,4.8486015e-08,1.1555422e-09,1.9828285e-06,9.868456e-12,9.532159e-09,3.4645183e-08,3.4709643e-13,1.2631034e-10,8.4372897e-07,2.4940353e-10,1.9410818e-07,3.1871204e-11,1.7915635e-06,2.6428044e-08,7.1158475e-09,5.4715465e-11,2.5519538e-09,3.3641726e-14,6.010026e-12,7.77118e-07,6.8122404e-08,1.4746918e-05,4.5710014e-08,1.6191548e-07,5.828165e-11,2.5845203e-08,1.7410849e-09,1.6318275e-09,2.0265547e-09,8.234132e-09
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\4.jpg,0,墨鱼,0,墨鱼,17,章鱼,28,鲳鱼,22,虾,24,螺类,True,0.99987185,8.362818e-07,5.3723234e-08,1.1216661e-06,4.0741396e-10,2.5841598e-06,2.6403543e-10,1.8741106e-06,2.226009e-08,8.257574e-16,6.9927054e-08,5.6211094e-09,5.2368665e-11,2.713363e-09,1.65493e-08,5.039799e-08,1.2886973e-10,3.7965692e-05,2.6766731e-08,2.9345823e-10,7.519241e-15,3.3736992e-13,2.3281562e-05,6.6233333e-06,2.0368097e-05,1.7543918e-07,1.2520395e-06,9.3912265e-12,3.181927e-05,2.2263126e-10,2.8337803e-09,8.550332e-09,3.6299765e-11
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\5.jpg,0,墨鱼,0,墨鱼,22,虾,24,螺类,26,鲈鱼,1,寄居蟹,True,0.99999857,1.7465597e-08,4.9345413e-13,2.053805e-12,2.2796935e-09,1.05132764e-10,3.3945735e-11,1.3302873e-08,1.8313408e-10,1.0469911e-14,1.6643949e-10,4.6985227e-10,2.57157e-13,1.1515897e-13,4.7076365e-10,1.32781315e-08,3.7757664e-09,8.230235e-09,8.1124974e-14,1.3842194e-08,3.3474441e-15,6.2406054e-13,9.798182e-07,1.392417e-09,2.5817118e-07,4.4176533e-13,4.323387e-08,3.421367e-11,3.8827372e-09,3.3562193e-09,1.8134468e-10,2.5389129e-12,4.0536718e-10
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\6.jpg,0,墨鱼,0,墨鱼,22,虾,24,螺类,14,珊瑚,23,螃蟹,True,0.9992606,1.0436843e-08,7.208942e-13,1.0350661e-13,2.512503e-09,8.254429e-07,6.5035727e-10,3.076272e-08,1.7478809e-10,2.0608112e-14,1.710381e-07,3.8767853e-10,3.6698036e-09,6.906528e-11,6.442835e-06,7.9923716e-08,7.7648855e-07,5.526077e-07,2.7540667e-12,3.7807566e-11,1.559347e-16,1.9718815e-18,0.000713917,3.6817557e-06,1.2593076e-05,5.477346e-12,1.8848061e-07,5.047092e-09,2.7023845e-09,3.6903998e-08,6.380241e-10,2.7334584e-12,2.8655797e-12
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\7.jpg,0,墨鱼,0,墨鱼,22,虾,24,螺类,14,珊瑚,23,螃蟹,True,0.9992606,1.0436843e-08,7.208942e-13,1.0350661e-13,2.512503e-09,8.254429e-07,6.5035727e-10,3.076272e-08,1.7478809e-10,2.0608112e-14,1.710381e-07,3.8767853e-10,3.6698036e-09,6.906528e-11,6.442835e-06,7.9923716e-08,7.7648855e-07,5.526077e-07,2.7540667e-12,3.7807566e-11,1.559347e-16,1.9718815e-18,0.000713917,3.6817557e-06,1.2593076e-05,5.477346e-12,1.8848061e-07,5.047092e-09,2.7023845e-09,3.6903998e-08,6.380241e-10,2.7334584e-12,2.8655797e-12
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\8.jpg,0,墨鱼,0,墨鱼,22,虾,24,螺类,26,鲈鱼,1,寄居蟹,True,0.99999857,1.7465597e-08,4.9345413e-13,2.053805e-12,2.2796935e-09,1.05132764e-10,3.3945735e-11,1.3302873e-08,1.8313408e-10,1.0469911e-14,1.6643949e-10,4.6985227e-10,2.57157e-13,1.1515897e-13,4.7076365e-10,1.32781315e-08,3.7757664e-09,8.230235e-09,8.1124974e-14,1.3842194e-08,3.3474441e-15,6.2406054e-13,9.798182e-07,1.392417e-09,2.5817118e-07,4.4176533e-13,4.323387e-08,3.421367e-11,3.8827372e-09,3.3562193e-09,1.8134468e-10,2.5389129e-12,4.0536718e-10
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\9.jpg,0,墨鱼,0,墨鱼,22,虾,24,螺类,10,海葵,14,珊瑚,True,0.99997795,1.9520434e-09,4.613846e-14,2.0069326e-13,1.6788849e-12,3.410766e-08,6.6474907e-13,6.2099765e-12,3.262738e-11,5.3676134e-21,8.492372e-08,1.2187967e-10,1.2405753e-11,2.7314597e-11,6.389883e-08,2.109154e-08,1.4562437e-09,2.9192865e-08,1.5875559e-14,1.8847788e-12,3.8058702e-23,2.3379174e-20,1.891742e-05,4.0963634e-08,2.812738e-06,6.666234e-12,2.410763e-10,3.643096e-12,7.989021e-12,2.7868008e-10,6.1356e-13,1.1044364e-12,6.0869787e-14
../海洋生物图片采集/LifeBelowWater_dataset/test\寄居蟹\0.jpg,1,寄居蟹,1,寄居蟹,23,螃蟹,15,石头鱼,24,螺类,22,虾,True,4.238855e-09,0.9999962,6.2719435e-15,1.0876935e-10,8.062714e-14,6.35826e-14,5.5562666e-10,3.133472e-18,2.6311277e-12,1.8382657e-21,7.535802e-14,2.7958748e-11,5.1858476e-11,1.6675658e-13,1.0377288e-12,3.6769453e-07,1.7674407e-11,1.7475882e-08,9.11172e-13,1.0696371e-12,1.5011187e-25,3.479641e-15,8.0316426e-08,3.2261432e-06,2.0168376e-07,2.0678861e-10,1.3476036e-16,1.1457536e-15,2.6437961e-11,1.0421384e-08,1.5001419e-11,6.4027234e-12,3.2825365e-10
../海洋生物图片采集/LifeBelowWater_dataset/test\寄居蟹\1.jpg,1,寄居蟹,1,寄居蟹,23,螃蟹,24,螺类,15,石头鱼,29,鳄鱼,True,6.4617495e-10,0.9999614,1.114215e-15,7.537724e-14,2.5033377e-15,4.8372523e-15,1.289937e-13,6.531906e-19,1.9314497e-16,3.0231426e-21,2.7657649e-17,5.4980447e-12,3.0748182e-13,1.6511185e-15,8.674767e-16,5.0639937e-08,2.937813e-10,5.1009366e-12,9.384358e-14,4.5906107e-15,6.306766e-26,3.1459025e-18,1.8341147e-10,3.8173213e-05,3.993112e-07,3.007553e-12,4.7588053e-16,5.381244e-12,3.857762e-12,8.798894e-09,8.254865e-12,7.482858e-15,2.3558917e-12
../海洋生物图片采集/LifeBelowWater_dataset/test\寄居蟹\10.jpg,1,寄居蟹,1,寄居蟹,29,鳄鱼,24,螺类,15,石头鱼,0,墨鱼,True,1.7017092e-08,1.0,7.319633e-12,5.320522e-12,5.2205668e-17,1.7115695e-15,3.8490946e-14,1.373959e-21,2.409284e-15,4.4110084e-24,1.1342463e-16,6.934664e-12,1.1801689e-14,2.4970538e-15,1.3249017e-14,2.1967342e-08,5.4970854e-11,7.181609e-11,1.9398406e-14,7.526121e-14,2.321784e-28,5.0741673e-19,5.5771304e-10,9.5270245e-09,2.7730103e-08,5.3926668e-14,8.043187e-19,6.292766e-16,1.1006092e-14,5.771639e-08,7.191745e-13,1.04971045e-13,4.4194208e-13
../海洋生物图片采集/LifeBelowWater_dataset/test\寄居蟹\11.jpg,1,寄居蟹,1,寄居蟹,23,螃蟹,24,螺类,15,石头鱼,5,河豚,True,1.6296053e-09,0.9999658,3.5635255e-11,1.4504525e-08,4.7238125e-15,7.5222084e-07,1.6276729e-13,1.7059817e-13,1.5545945e-13,1.4009335e-16,9.743432e-13,1.5416203e-09,6.236808e-09,4.533719e-09,1.5858596e-11,1.6372751e-06,3.2137083e-07,5.378693e-08,1.3796531e-09,1.1719267e-12,9.9923774e-23,1.0812832e-14,1.2921764e-09,2.7439015e-05,4.0530444e-06,1.9108727e-08,1.4110045e-14,1.1939168e-10,2.6687244e-10,1.0085525e-08,6.7923986e-11,1.1553643e-10,1.1397334e-08
../海洋生物图片采集/LifeBelowWater_dataset/test\寄居蟹\12.jpg,1,寄居蟹,1,寄居蟹,23,螃蟹,22,虾,15,石头鱼,29,鳄鱼,True,7.905806e-08,0.9999918,1.1935987e-11,2.1815914e-09,3.001827e-12,2.0738414e-10,1.6516327e-10,1.0907101e-16,1.7552714e-11,4.289314e-22,4.0945488e-14,2.1172293e-11,1.0912617e-12,4.888976e-10,1.0240551e-12,1.0436197e-06,9.2468696e-14,7.797369e-08,7.4040205e-11,4.6588977e-09,8.230712e-28,1.7109139e-17,1.7721413e-06,4.3459904e-06,5.4556853e-08,8.0774335e-08,9.832878e-15,1.4585779e-11,6.8016995e-08,5.853456e-07,8.512521e-11,1.8941193e-10,5.315077e-10
../海洋生物图片采集/LifeBelowWater_dataset/test\寄居蟹\13.jpg,1,寄居蟹,1,寄居蟹,23,螃蟹,22,虾,24,螺类,0,墨鱼,True,2.8485921e-08,0.999851,1.9590979e-17,3.054875e-12,2.2652e-11,2.7643998e-13,1.4125368e-13,1.6673903e-17,5.6127225e-16,3.0961e-20,6.868574e-14,6.533195e-14,3.2494017e-14,1.7406418e-12,3.180517e-14,1.7205942e-10,1.6242533e-11,4.778571e-12,1.6413538e-15,2.6175582e-15,6.43251e-25,1.5476574e-19,9.638301e-06,0.00013700192,2.3517962e-06,2.8932662e-10,1.4007565e-16,5.0866825e-13,1.0262146e-11,1.0819741e-10,1.5072448e-12,2.425959e-14,9.4674886e-11
